iwc_id,Product,Type,Unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-0-F1-0-F2-0,H_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-0-F1-0-F2-0,H_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,P_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.70656,67.54231|67.54231,71.85153,76.78024,80.71755,84.79316,87.42141,89.46734,91.92113,94.45771,97.09661,99.17649,101.3573,103.35025,104.19605,105.3805,106.2491,106.79336,107.78073,109.07315,109.44656,109.87749,110.53191,110.88791,111.7699,112.2655,112.82664,113.26931,113.03898,113.48152,113.35611,113.41259,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305,113.37305
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,P_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.80925,79.40455|79.40455,84.78083,90.08784,95.23552,100.17095,104.00678,108.44176,113.13012,117.7026,121.99696,126.28163,130.31551,134.46417,137.17964,141.08408,145.03949,148.6143,152.56997,156.05383,159.51028,162.89251,166.33702,169.57979,172.69675,175.89373,179.07225,182.16925,183.75865,186.84791,189.365,192.4078,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841,195.22841
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,qP_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64688|41.43695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,qP_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.47228|48.40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,H_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03902,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-0,H_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91169,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,P_GREENTONSPA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.70656,67.54231|67.54231,71.85153,77.85082,82.81241,86.99766,90.11528,92.63875,95.70865,98.14403,99.0705,100.74151,101.8573,102.76552,103.99336,104.99513,105.97961,106.25504,107.45068,108.19499,109.08661,109.69963,110.90122,111.69046,112.49635,113.24714,113.49247,113.87212,113.98645,114.02056,114.38536,114.51002,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385,115.35385
BH1427-1-1-TPA-XX-BA-XX-T1-19-T2-19-F1-0-F2-20,P_TOP4M3PA,Yield,per acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.80925,79.40455|79.40455,84.78083,91.80439,99.04824,106.81231,114.29048,120.51159,126.96175,132.71736,138.15241,143.12723,147.6132,151.51604,155.46926,158.98372,162.2067,164.10802,167.10563,169.98552,172.89991,175.6134,178.32832,181.06149,183.7762,186.48685,189.19272,192.00004,194.56726,197.09233,199.90215,202.5727,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478,205.40478
