species,origin,si_class,growth_period,mgmt_trajectory,leading_species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,yield_curve_id
LB,PY,SI90,current,T1-17-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.8966472125,415.4496550085,435.103620683,454.27041884999994,471.032341736,487.255723985,504.6954805965,522.0660725184999,539.1990482725,551.5032958005,566.5676567575,582.9011489945,598.8732254585,608.8459878904999,624.141910943,637.579975053,650.983543305,661.7321413054999,674.711899772,686.8248386089999,698.572951624,709.94699709,721.543239372,732.4302655935,743.5291843525,754.5738882745,764.2926761875,773.806391661,783.4713848155,793.5966604535,802.870387551,812.8463870585,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,822.2646458705,1
LB,PY,SI90,current,T1-17-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1949315745,7.557904109,7.889420177,8.1920002495,8.455784837000001,8.742179532,8.9945972895,9.229025802999999,9.442969311999999,9.685354606499999,9.8967776445,10.0817110265,10.304673868,10.477153158,10.657045598,10.828437626,11.018016582000001,11.1757931245,11.346320285000001,11.499228858999999,11.666914312000001,11.8240978025,11.977945375500001,12.1142979145,12.2811185,12.409909626000001,12.5781634205,12.72887276,12.8338182535,12.9760518915,13.1230299455,13.2627925335,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,13.386962795999999,2
LB,NN,SI45,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.896577891,138.28840899099998,143.574083783,148.331250401,153.2985304005,158.279401175,162.9580625345,167.423076911,171.94611154150002,176.65262163449998,181.2195668235,185.265589962,189.657090601,193.9690481405,198.152115712,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,202.0912412275,3
LB,NN,SI45,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3501652275,27.829409889,29.388741280999998,31.058923976,32.5970290485,34.2317274655,35.8357848625,37.553955348500004,39.2815158245,41.11609747599999,42.953125467,44.844195321499996,46.774851397,48.644052459,50.568061410000006,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,52.6354653925,4
LB,PY,SI90,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.437427058,266.70440489050003,281.09990203350003,294.132145602,305.437990088,318.472630575,331.450684017,343.8659064005,354.3413298235,365.5230781785,376.6721592525,388.9725025215,396.889227801,407.6731123955,418.399816893,428.4152543585,435.48077704450003,445.51200451949995,455.5046836145,463.83968352750003,472.142881027,479.5474564835,488.116440121,495.47927954299996,503.8951569225,510.6809073275,519.1027399375,526.0853094749999,533.334925386,540.6827655345,546.713338349,553.767395363,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,560.5747180344999,5
LB,PY,SI90,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.327524819,13.254959304999998,14.105470004499999,14.9642093005,15.6901049485,16.368235199999997,16.9972903985,17.665832976,18.241241679,18.793867301,19.306066545,19.8016356225,20.3511477215,20.8260094,21.284067938499998,21.765972109499998,22.234853846999997,22.6262434565,23.034806863500002,23.4492019485,23.814942059,24.205763327,24.54988175,24.8336818425,25.1323329455,25.523178924,25.7948214505,26.056480935,26.448438885999998,26.736563315999998,27.0391433885,27.345479457,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,27.662441040500003,6
LB,PY,SI90,current,T1-14-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.2876669485,244.22822830049998,258.743843184,272.886848438,286.110474829,297.98320289549997,310.6641372855,323.86026089,336.18874941850004,348.347229707,360.083333419,368.961568964,380.926047117,391.47387230500004,402.3021369575,413.75011623949996,423.5262819335,433.223645843,442.38555792799997,450.390079614,459.638774975,468.8011565595,477.599750163,486.6018100235,495.253474994,503.7423966115,512.5292527275,520.5758316845,526.702231818,534.3793393789999,542.271181185,550.075745505,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,557.5663135015,7
LB,PY,SI90,current,T1-14-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4771749055,7.85695058,8.173442664,8.4838312545,8.748233604500001,9.0376429805,9.304145723,9.514160262499999,9.7403601795,9.9575654745,10.191252673,10.375222345500001,10.564578907,10.7707880295,10.9443545815,11.126199151,11.2976653105,11.469675100999998,11.631084087000001,11.796150227,11.9593630795,12.107626079500001,12.24948906,12.369903326500001,12.5344258355,12.684591544,12.872144238999999,13.082035226,13.237958481,13.3984531785,13.645978257,13.779810325,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,13.9401567595,8
HH,NN,SI65,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69207580599999,87.35843759800001,89.373628294,9
HH,NN,SI65,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.5859465005,106.56731774650001,109.23479151100001,10
PH,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.50256142149999,94.16902205550001,96.46712326599999,11
PH,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6071412335,48.051642932,49.4236934445,12
LB,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Softwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.392007259,154.811826131,159.443463409,163.79594616850002,168.417526273,172.68601804300002,177.064817485,181.0960143235,185.08520331199998,189.4371424405,192.729396487,197.0836089815,201.13921979399998,204.69782831999999,209.04418287549998,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,212.40836918749997,13
LB,NN,SI50,current,T1-0-T2-0-F1-0-F2-0,Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4811368035,34.1706431095,35.8070218405,37.661174208,39.4734669885,41.2251449125,43.084041696,44.959964014,46.895636321,48.872476321,50.9818881535,52.9777552385,55.303235683,57.436295464000004,59.545583744000005,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,61.8903877995,14
