disturbance_type,src_stand_key,tgt_stand_key,src_species,tgt_species,src_origin,tgt_origin,src_si_class,tgt_si_class,src_growth_period,tgt_growth_period,src_mgmt_trajectory,tgt_mgmt_trajectory,reset_age
1st_Thin,BH2046-1-61,BH2046-1-61,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2046-1-61,BH2046-1-61,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
1st_Thin,BH2046-1-64,BH2046-1-64,LB,LB,PY,PY,SI70,SI70,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-64,BH2046-1-64,LB,LB,PY,PY,SI70,SI70,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-64,BH2046-1-64,LB,LB,PY,PY,SI70,SI70,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-67,BH2046-1-67,LB,LB,NN,NN,SI65,SI65,current,post_regen,T1-17-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2047-1-395,BH2047-1-395,COLL,COLL,OY,OY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2047-1-395,BH2047-1-395,COLL,COLL,OY,OY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH2047-1-395,BH2047-1-395,COLL,LL,OY,OY,SI85,SI85,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Clearcut,BH2047-1-72,BH2047-1-72,PH,LB,PY,PY,SI50,SI50,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2047-1-72,BH2047-1-72,PH,PH,PY,PY,SI50,SI50,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2047-1-72,BH2047-1-72,PH,PH,PY,PY,SI50,SI50,current,current,T1-0-T2-0-F1-0-F2-0,T1-15-T2-0-F1-0-F2-0,-1
Clearcut,BH2047-1-74,BH2047-1-74,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-14-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2047-1-74,BH2047-1-74,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
1st_Thin,BH2047-1-74,BH2047-1-74,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2047-1-74,BH2047-1-74,LB,LB,PY,PY,SI85,SI85,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2047-1-76,BH2047-1-76,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-19-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2047-1-76,BH2047-1-76,LB,LB,PY,PY,SI80,SI80,current,current,T1-19-T2-0-F1-0-F2-0,T1-19-T2-0-F1-0-F2-0,-1
1st_Thin,BH2047-1-76,BH2047-1-76,LB,LB,PY,PY,SI80,SI80,current,current,T1-19-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2047-1-76,BH2047-1-76,LB,LB,PY,PY,SI80,SI80,current,current,T1-19-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2047-1-81,BH2047-1-81,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-17-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2047-1-81,BH2047-1-81,LB,LB,PY,PY,SI85,SI85,current,current,T1-17-T2-0-F1-0-F2-0,T1-17-T2-0-F1-0-F2-0,-1
1st_Thin,BH2047-1-81,BH2047-1-81,LB,LB,PY,PY,SI85,SI85,current,current,T1-17-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2047-1-81,BH2047-1-81,LB,LB,PY,PY,SI85,SI85,current,current,T1-17-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
1st_Thin,BH2061-1-356,BH2061-1-356,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2061-1-356,BH2061-1-356,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-19-F1-15-F2-0,-1
Clearcut,BH2061-1-356,BH2061-1-356,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2061-1-356,BH2061-1-356,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2061-1-357,BH2061-1-357,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2061-1-357,BH2061-1-357,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2061-1-357,BH2061-1-357,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2061-1-357,BH2061-1-357,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2061-1-83,BH2061-1-83,LB,LB,PY,PY,SI70,SI70,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2061-1-83,BH2061-1-83,LB,LB,PY,PY,SI70,SI70,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2061-1-83,BH2061-1-83,LB,LB,PY,PY,SI70,SI70,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2061-1-83,BH2061-1-83,LB,LB,PY,PY,SI70,SI70,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH3011-1-91,BH3011-1-91,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-14-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH3011-1-91,BH3011-1-91,LB,LB,PY,PY,SI90,SI90,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
1st_Thin,BH3011-1-91,BH3011-1-91,LB,LB,PY,PY,SI90,SI90,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH3011-1-91,BH3011-1-91,LB,LB,PY,PY,SI90,SI90,current,current,T1-14-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH3011-1-92,BH3011-1-92,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH3011-1-92,BH3011-1-92,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH3011-1-92,BH3011-1-92,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH3011-1-92,BH3011-1-92,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-15-F2-0,-1
1st_Thin,BH4023-1-95,BH4023-1-95,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-16-T2-0-F1-0-F2-0,-1
Clearcut,BH4023-1-95,BH4023-1-95,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH4023-1-95,BH4023-1-95,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH4059-1-108,BH4059-1-108,PH,LB,PY,PY,SI55,SI55,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH4059-1-108,BH4059-1-108,PH,PH,PY,PY,SI55,SI55,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH4059-1-108,BH4059-1-108,PH,PH,PY,PY,SI55,SI55,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH4059-1-109,BH4059-1-109,PH,LB,PY,PY,SI55,SI55,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH4059-1-109,BH4059-1-109,PH,PH,PY,PY,SI55,SI55,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH4059-1-109,BH4059-1-109,PH,PH,PY,PY,SI55,SI55,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
1st_Thin,BH5120-1-111,BH5120-1-111,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5120-1-111,BH5120-1-111,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
Clearcut,BH5120-1-111,BH5120-1-111,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5120-1-111,BH5120-1-111,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-116,BH5132-1-116,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5132-1-116,BH5132-1-116,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-116,BH5132-1-116,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-116,BH5132-1-116,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5132-1-117,BH5132-1-117,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-117,BH5132-1-117,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-117,BH5132-1-117,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-117,BH5132-1-117,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5132-1-121,BH5132-1-121,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5132-1-121,BH5132-1-121,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-121,BH5132-1-121,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-121,BH5132-1-121,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5132-1-122,BH5132-1-122,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-122,BH5132-1-122,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-122,BH5132-1-122,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-122,BH5132-1-122,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
1st_Thin,BH5132-1-123,BH5132-1-123,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
51.3% clearcut,BH5132-1-123,BH5132-1-123,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Site_Prep,BH5132-1-123,BH5132-1-123,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH5132-1-123,BH5132-1-123,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
2nd_Thin,BH5132-1-123,BH5132-1-123,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5132-1-124,BH5132-1-124,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-124,BH5132-1-124,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5132-1-124,BH5132-1-124,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-124,BH5132-1-124,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-125,BH5132-1-125,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-125,BH5132-1-125,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5132-1-125,BH5132-1-125,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-125,BH5132-1-125,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
12.03% clearcut,BH5132-1-126,BH5132-1-126,PH,PH,NY,NY,SI60,SI60,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
8.93% clearcut,BH5132-1-126,BH5132-1-126,PH,PH,NY,NY,SI60,SI60,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH5132-1-126,BH5132-1-126,PH,LB,NY,NY,SI60,SI60,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Clearcut,BH5132-1-128,BH5132-1-128,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-15-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-128,BH5132-1-128,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-15-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-128,BH5132-1-128,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-128,BH5132-1-128,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5132-1-129,BH5132-1-129,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-129,BH5132-1-129,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-129,BH5132-1-129,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-129,BH5132-1-129,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5132-1-340,BH5132-1-340,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-340,BH5132-1-340,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
Clearcut,BH5132-1-340,BH5132-1-340,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-340,BH5132-1-340,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH5132-1-381,BH5132-1-381,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-15-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5132-1-381,BH5132-1-381,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-15-T2-0-F1-0-F2-0,-1
1st_Thin,BH5132-1-381,BH5132-1-381,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5132-1-381,BH5132-1-381,LB,LB,PY,PY,SI90,SI90,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5135-1-130,BH5135-1-130,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5135-1-130,BH5135-1-130,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5135-1-130,BH5135-1-130,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5135-1-130,BH5135-1-130,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
1st_Thin,BH5135-1-131,BH5135-1-131,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5135-1-131,BH5135-1-131,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5135-1-131,BH5135-1-131,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5135-1-131,BH5135-1-131,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5135-1-133,BH5135-1-133,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5135-1-133,BH5135-1-133,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5135-1-133,BH5135-1-133,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5135-1-133,BH5135-1-133,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
1st_Thin,BH5135-1-135,BH5135-1-135,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH5135-1-135,BH5135-1-135,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5135-1-135,BH5135-1-135,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5135-1-135,BH5135-1-135,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
1st_Thin,BH5135-1-137,BH5135-1-137,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5135-1-137,BH5135-1-137,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-20-F1-0-F2-0,-1
Clearcut,BH5135-1-137,BH5135-1-137,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5135-1-137,BH5135-1-137,LB,LB,PY,PY,SI80,SI80,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5136-1-138,BH5136-1-138,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-18-T2-0-F1-0-F2-0,-1
Clearcut,BH5136-1-138,BH5136-1-138,LB,LB,PY,PY,SI85,SI85,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5136-1-138,BH5136-1-138,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5136-1-138,BH5136-1-138,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5136-1-139,BH5136-1-139,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5136-1-139,BH5136-1-139,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5136-1-139,BH5136-1-139,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5136-1-139,BH5136-1-139,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH5136-1-140,BH5136-1-140,LB,LB,PY,PY,SI80,SI80,current,post_regen,T1-14-T2-0-F1-17-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5136-1-140,BH5136-1-140,LB,LB,PY,PY,SI80,SI80,current,current,T1-14-T2-0-F1-17-F2-0,T1-14-T2-0-F1-17-F2-0,-1
1st_Thin,BH5136-1-140,BH5136-1-140,LB,LB,PY,PY,SI80,SI80,current,current,T1-14-T2-0-F1-17-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5136-1-140,BH5136-1-140,LB,LB,PY,PY,SI80,SI80,current,current,T1-14-T2-0-F1-17-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5136-1-396,BH5136-1-396,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5136-1-396,BH5136-1-396,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
Clearcut,BH5136-1-396,BH5136-1-396,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5136-1-396,BH5136-1-396,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH5140-1-143,BH5140-1-143,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-17-T2-0-F1-0-F2-0,-1
Clearcut,BH5140-1-143,BH5140-1-143,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5140-1-143,BH5140-1-143,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5140-1-143,BH5140-1-143,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5140-1-145,BH5140-1-145,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-17-T2-0-F1-0-F2-0,-1
Clearcut,BH5140-1-145,BH5140-1-145,LB,LB,PY,PY,SI90,SI90,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH5140-1-145,BH5140-1-145,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2nd_Thin,BH5140-1-145,BH5140-1-145,LB,LB,PY,PY,SI90,SI90,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-0-F2-0,-1
1st_Thin,BH5140-1-146,BH5140-1-146,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
